2 1:0.202000 2:0.454000
2 1:0.270000 2:0.374000
2 1:0.276000 2:0.304000
2 1:0.276000 2:0.268000
2 1:0.278000 2:0.218000
2 1:0.378000 2:0.180000
2 1:0.412000 2:0.226000
2 1:0.382000 2:0.332000
2 1:0.368000 2:0.284000
2 1:0.326000 2:0.380000
2 1:0.300000 2:0.514000
2 1:0.142000 2:0.426000
2 1:0.210000 2:0.294000
2 1:0.202000 2:0.246000
2 1:0.308000 2:0.170000
2 1:0.496000 2:0.180000
2 1:0.424000 2:0.254000
2 1:0.342000 2:0.240000
2 1:0.314000 2:0.306000
2 1:0.304000 2:0.432000
2 1:0.216000 2:0.380000
2 1:0.274000 2:0.448000
2 1:0.636000 2:0.366000
2 1:0.514000 2:0.272000
2 1:0.480000 2:0.346000
2 1:0.476000 2:0.410000
2 1:0.564000 2:0.354000
2 1:0.412000 2:0.404000
3 1:0.616000 2:0.832000
3 1:0.576000 2:0.740000
3 1:0.612000 2:0.678000
3 1:0.706000 2:0.620000
3 1:0.758000 2:0.654000
3 1:0.768000 2:0.702000
3 1:0.716000 2:0.708000
3 1:0.638000 2:0.758000
3 1:0.494000 2:0.806000
3 1:0.554000 2:0.694000
3 1:0.584000 2:0.628000
3 1:0.640000 2:0.580000
3 1:0.718000 2:0.536000
3 1:0.852000 2:0.550000
3 1:0.788000 2:0.618000
3 1:0.738000 2:0.662000
3 1:0.648000 2:0.680000
3 1:0.698000 2:0.658000
3 1:0.678000 2:0.538000
3 1:0.782000 2:0.480000
3 1:0.822000 2:0.472000
3 1:0.784000 2:0.430000
3 1:0.764000 2:0.526000
3 1:0.792000 2:0.568000
3 1:0.920000 2:0.598000
3 1:0.928000 2:0.716000
3 1:0.814000 2:0.662000
3 1:0.838000 2:0.640000
3 1:0.500000 2:0.660000
3 1:0.536000 2:0.580000
3 1:0.452000 2:0.602000
3 1:0.476000 2:0.554000
3 1:0.388000 2:0.652000
3 1:0.342000 2:0.672000
3 1:0.384000 2:0.714000
2 1:0.200000 2:0.556000
2 1:0.134000 2:0.582000
2 1:0.180000 2:0.708000
2 1:0.240000 2:0.634000
2 1:0.270000 2:0.788000
2 1:0.342000 2:0.844000
2 1:0.164000 2:0.850000
2 1:0.180000 2:0.760000
2 1:0.088000 2:0.740000
2 1:0.204000 2:0.884000
2 1:0.686000 2:0.244000
2 1:0.566000 2:0.208000
3 1:0.782000 2:0.292000
3 1:0.830000 2:0.318000
3 1:0.792000 2:0.204000
3 1:0.688000 2:0.132000
3 1:0.748000 2:0.098000
3 1:0.840000 2:0.116000
3 1:0.858000 2:0.230000
3 1:0.888000 2:0.282000
3 1:0.842000 2:0.378000
3 1:0.868000 2:0.396000
3 1:0.916000 2:0.476000
3 1:0.860000 2:0.142000
